STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFI,WDFI_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFI,WSFI_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WV01,WV01_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00023174,3/16/1995,33.93816,-118.3866,29.7,LOS ANGELES INTERNATIONAL AIRPORT CA US,0,2400,0,0,0,0,206,0,128,0,70,X,70,X,,,,,,,,,30,X,,,,,1508,X,,,,,,,,,,,,,,,,,270,WX,,,,,0,0,,,,,,,82,X,,,,,1,0,1,X,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
USW00023174,3/17/1995,33.93816,-118.3866,29.7,LOS ANGELES INTERNATIONAL AIRPORT CA US,0,2400,0,0,0,0,189,0,144,0,80,X,70,X,,,,,,,,,30,X,,,,,1518,X,,,,,,,,,,,,,,,,,225,WX,,,,,0,0,,,,,,,77,X,,,,,1,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
USW00023174,3/18/1995,33.93816,-118.3866,29.7,LOS ANGELES INTERNATIONAL AIRPORT CA US,0,2400,0,0,0,0,194,0,139,0,80,X,90,X,,,,,,,,,30,X,,,,,1643,X,,,,,,,,,,,,,,,,,225,WX,,,,,0,0,,,,,,,77,X,,,,,1,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
USW00023174,3/19/1995,33.93816,-118.3866,29.7,LOS ANGELES INTERNATIONAL AIRPORT CA US,0,2400,0,0,0,0,206,0,139,0,70,X,60,X,,,,,,,,,24,X,,,,,1607,X,,,,,,,,,,,,,,,,,225,WX,,,,,0,0,,,,,,,62,X,,,,,1,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
USW00023174,3/20/1995,33.93816,-118.3866,29.7,LOS ANGELES INTERNATIONAL AIRPORT CA US,0,2400,0,0,0,0,200,0,150,0,100,X,100,X,,,,,,,,,29,X,,,,,1439,X,,,,,,,,,,,,,,,,,225,WX,,,,,0,0,,,,,,,93,X,,,,,1,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
USW00023174,3/21/1995,33.93816,-118.3866,29.7,LOS ANGELES INTERNATIONAL AIRPORT CA US,127,2400,0,0,0,0,161,0,106,0,70,X,60,X,,,,,,,,,68,X,,,,,603,X,,,,,,,,,,,,,,,,,270,WX,,,,,0,0,,,,,,,139,X,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023174,3/22/1995,33.93816,-118.3866,29.7,LOS ANGELES INTERNATIONAL AIRPORT CA US,0,2400,0,0,0,0,167,0,83,0,30,X,30,X,,,,,,,,,32,X,,,,,1603,X,,,,,,,,,,,,,,,,,225,WX,,,,,0,0,,,,,,,82,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023174,3/23/1995,33.93816,-118.3866,29.7,LOS ANGELES INTERNATIONAL AIRPORT CA US,97,2400,0,0,0,0,139,0,94,0,60,X,70,X,,,,,,,,,59,X,,,,,1545,X,,,,,,,,,,,,,,,,,270,WX,,,,,0,0,,,,,,,134,X,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023174,3/24/1995,33.93816,-118.3866,29.7,LOS ANGELES INTERNATIONAL AIRPORT CA US,0,2400,0,0,0,0,167,0,67,0,0,X,10,X,,,,,,,,,46,X,,,,,1610,X,,,,,,,,,,,,,,,,,270,WX,,,,,0,0,,,,,,,123,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023174,3/25/1995,33.93816,-118.3866,29.7,LOS ANGELES INTERNATIONAL AIRPORT CA US,0,2400,0,0,0,0,178,0,94,0,0,X,0,X,,,,,,,,,37,X,,,,,1658,X,,,,,,,,,,,,,,,,,270,WX,,,,,0,0,,,,,,,93,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
