STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMC,ACMC_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSC,ACSC_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,GAHT,GAHT_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFI,WDFI_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFI,WSFI_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV07,WV07_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00023183,1/18/1996,33.4278,-112.00365,339.2,"PHOENIX AIRPORT, AZ US",0,",,0,2400",0,",,0",0,",,0",172,",,0",50,",,0",,,,,,,,,,,,,,,,,22,",,X",1002,",,X",,,,,1001,",,X",,,,,,,,,,,,,,,,,60,",,X",70,",,X",,,,,,,0,",,0",,,49,",,X",63,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023183,1/19/1996,33.4278,-112.00365,339.2,"PHOENIX AIRPORT, AZ US",0,",,0,2400",0,",,0",0,",,0",189,",,0",44,",,0",,,,,,,,,,,,,,,,,24,",,X",1708,",,X",,,,,1707,",,X",,,,,,,,,,,,,,,,,250,",,X",250,",,X",,,,,,,0,",,0",,,49,",,X",63,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023183,1/20/1996,33.4278,-112.00365,339.2,"PHOENIX AIRPORT, AZ US",0,",,0,2400",0,",,0",0,",,0",189,",,0",44,",,0",,,,,,,,,,,,,,,,,16,",,X",1739,",,X",,,,,1502,",,X",,,,,,,,,,,,,,,,,240,",,X",270,",,X",,,,,,,0,",,0",,,40,",,X",58,",,X",,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,
USW00023183,1/21/1996,33.4278,-112.00365,339.2,"PHOENIX AIRPORT, AZ US",0,",,0,2400",0,",,0",0,",,0",178,",,0",33,",,0",,,,,,,,,,,,,,,,,18,",,X",1124,",,X",,,,,1127,",,X",,,,,,,,,,,,,,,,,100,",,X",100,",,X",,,,,,,0,",,0",,,40,",,X",45,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023183,1/22/1996,33.4278,-112.00365,339.2,"PHOENIX AIRPORT, AZ US",28,",,0,2400",0,",,0",0,",,0",150,",,0",50,",,0",,,,,,,,,,,,,,,,,30,",,X",1439,",,X",,,,,1316,",,X",,,,,,,,,,,,,,,,,210,",,X",240,",,X",,,,,,,0,",,0",,,80,",,X",116,",,X",,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,1,",,0",,,,,,,,,,
USW00023183,1/23/1996,33.4278,-112.00365,339.2,"PHOENIX AIRPORT, AZ US",0,",,0,2400",0,",,0",0,",,0",133,",,0",28,",,0",,,,,,,,,,,,,,,,,17,",,X",1641,",,X",,,,,1640,",,X",,,,,,,,,,,,,,,,,250,",,X",230,",,X",,,,,,,0,",,0",,,45,",,X",58,",,X",,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,
USW00023183,1/24/1996,33.4278,-112.00365,339.2,"PHOENIX AIRPORT, AZ US",0,",,0,2400",0,",,0",0,",,0",161,",,0",17,",,0",,,,,,,,,,,,,,,,,16,",,X",1122,",,X",,,,,1121,",,X",,,,,,,,,,,,,,,,,130,",,X",130,",,X",,,,,,,0,",,0",,,40,",,X",49,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023183,1/25/1996,33.4278,-112.00365,339.2,"PHOENIX AIRPORT, AZ US",0,",,0,2400",0,",,0",0,",,0",156,",,0",22,",,0",,,,,,,,,,,,,,,,,22,",,X",1025,",,X",,,,,1018,",,X",,,,,,,,,,,,,,,,,120,",,X",140,",,X",,,,,,,0,",,0",,,40,",,X",49,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023183,1/26/1996,33.4278,-112.00365,339.2,"PHOENIX AIRPORT, AZ US",0,",,0,2400",0,",,0",0,",,0",178,",,0",56,",,0",,,,,,,,,,,,,,,,,16,",,X",1528,",,X",,,,,1537,",,X",,,,,,,,,,,,,,,,,280,",,X",270,",,X",,,,,,,0,",,0",,,40,",,X",45,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023183,1/27/1996,33.4278,-112.00365,339.2,"PHOENIX AIRPORT, AZ US",0,",,0,2400",0,",,0",0,",,0",194,",,0",61,",,0",,,,,,,,,,,,,,,,,17,",,X",921,",,X",,,,,923,",,X",,,,,,,,,,,,,,,,,110,",,X",100,",,X",,,,,,,0,",,0",,,40,",,X",49,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
